6
60
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
0 49 39 22 45 28 10 59 52 5 19 34 25 40 62 15 16 33 55 6 61 12 26 43 36 21 3 50 9 56 46 31 14 63 41 24 35 18 4 53 58 11 29 44 23 38 48 1 30 47 57 8 51 2 20 37 42 27 13 60 7 54 32 17
0 49 27 42 56 9 35 18 63 14 36 21 7 54 28 45 57 8 34 19 1 48 26 43 6 55 29 44 62 15 37 20 32 17 59 10 24 41 3 50 31 46 4 53 39 22 60 13 25 40 2 51 33 16 58 11 38 23 61 12 30 47 5 52
0 49 23 38 15 62 24 41 17 32 6 55 30 47 9 56 2 51 21 36 13 60 26 43 19 34 4 53 28 45 11 58 5 52 18 35 10 59 29 44 20 37 3 50 27 42 12 61 7 54 16 33 8 57 31 46 22 39 1 48 25 40 14 63
0 47 57 22 42 5 19 60 51 28 10 37 25 54 32 15 16 63 41 6 58 21 3 44 35 12 26 53 9 38 48 31 14 33 55 24 36 11 29 50 61 18 4 43 23 56 46 1 30 49 39 8 52 27 13 34 45 2 20 59 7 40 62 17
0 47 53 26 38 9 19 60 51 28 6 41 21 58 32 15 16 63 37 10 54 25 3 44 35 12 22 57 5 42 48 31 62 17 11 36 24 55 45 2 13 34 56 23 43 4 30 49 46 1 27 52 8 39 61 18 29 50 40 7 59 20 14 33
0 47 50 29 42 5 24 55 17 62 35 12 59 20 9 38 27 52 41 6 49 30 3 44 10 37 56 23 32 15 18 61 14 33 60 19 36 11 22 57 31 48 45 2 53 26 7 40 21 58 39 8 63 16 13 34 4 43 54 25 46 1 28 51
0 47 43 4 15 32 36 11 33 14 10 37 46 1 5 42 39 8 12 35 40 7 3 44 6 41 45 2 9 38 34 13 28 51 55 24 19 60 56 23 61 18 22 57 50 29 25 54 59 20 16 63 52 27 31 48 26 53 49 30 21 58 62 17
0 47 23 56 15 32 24 55 17 62 6 41 30 49 9 38 27 52 12 35 20 59 3 44 10 37 29 50 5 42 18 61 28 51 11 36 19 60 4 43 13 34 26 53 2 45 21 58 7 40 16 63 8 39 31 48 22 57 1 46 25 54 14 33
0 47 2 45 38 9 36 11 33 14 35 12 7 40 5 42 39 8 37 10 1 46 3 44 6 41 4 43 32 15 34 13 62 17 60 19 24 55 26 53 31 48 29 50 57 22 59 20 25 54 27 52 63 16 61 18 56 23 58 21 30 49 28 51
0 40 50 26 22 62 36 12 33 9 19 59 55 31 5 45 57 17 11 35 47 7 29 53 24 48 42 2 14 38 60 20 28 52 46 6 10 34 56 16 61 21 15 39 43 3 25 49 37 13 23 63 51 27 1 41 4 44 54 30 18 58 32 8
0 40 44 4 38 14 10 34 52 28 24 48 18 58 62 22 23 63 59 19 49 25 29 53 35 11 15 39 5 45 41 1 32 8 12 36 6 46 42 2 20 60 56 16 50 26 30 54 55 31 27 51 17 57 61 21 3 43 47 7 37 13 9 33
0 40 43 3 45 5 6 46 8 32 35 11 37 13 14 38 27 51 48 24 54 30 29 53 19 59 56 16 62 22 21 61 9 33 34 10 36 12 15 39 1 41 42 2 44 4 7 47 18 58 57 17 63 23 20 60 26 50 49 25 55 31 28 52
